gOTU,mean_abundance,occurrence,Unnamed: 0,Domain,Phylum,Class,Order,Family,Genus,Species,Strain,predicted_occurrence,lower_conf_int,upper_conf_int
G900128475,1.0903698534542918e-05,0.2916666666666667,10455,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Mediterranea,s__Mediterranea massiliensis,t__,0.0496569470464866,0.009949505941065542,0.2136376386484466
G000301055,1.0903698534542918e-05,0.2916666666666667,1887,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Aerococcaceae,g__Facklamia,s__Facklamia ignava,t__,0.0496569470464866,0.009949505941065542,0.2136376386484466
G000024565,1.0903698534542918e-05,0.25,497,k__Bacteria,p__Fusobacteria,c__Fusobacteriia,o__Fusobacteriales,f__Leptotrichiaceae,g__Streptobacillus,s__Streptobacillus moniliformis,t__,0.0496569470464866,0.009949505941065542,0.2136376386484466
G000023205,1.0903698534542918e-05,0.2916666666666667,449,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Micrococcales,f__Micrococcaceae,g__Micrococcus,s__Micrococcus luteus,t__,0.0496569470464866,0.009949505941065542,0.2136376386484466
G001182825,1.0903698534542918e-05,0.2916666666666667,5996,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,s__Streptococcus sp. X13SY08,t__,0.0496569470464866,0.009949505941065542,0.2136376386484466
G000173795,1.1630611770179112e-05,0.25,945,k__Bacteria,p__Firmicutes,c__Erysipelotrichia,o__Erysipelotrichales,f__Erysipelotrichaceae,g__Catenibacterium,s__Catenibacterium mitsuokai,t__,0.05289259849225025,0.011056974193618882,0.2181085874751454
G000368825,1.1630611770179112e-05,0.25,2343,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Moraxellaceae,g__Acinetobacter,s__Acinetobacter ursingii,t__,0.05289259849225025,0.011056974193618882,0.2181085874751454
G000379185,1.1630611770179112e-05,0.25,2503,k__Bacteria,p__Bacteroidetes,c__Flavobacteriia,o__Flavobacteriales,f__Flavobacteriaceae,g__Capnocytophaga,s__Capnocytophaga cynodegmi,t__,0.05289259849225025,0.011056974193618882,0.2181085874751454
G000973085,1.1630611770179112e-05,0.25,5252,k__Bacteria,p__Fusobacteria,c__Fusobacteriia,o__Fusobacteriales,f__Leptotrichiaceae,g__Sneathia,s__Sneathia amnii,t__,0.05289259849225025,0.011056974193618882,0.2181085874751454
G000154205,1.1630611770179112e-05,0.2916666666666667,730,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides,s__Bacteroides uniformis,t__,0.05289259849225025,0.011056974193618882,0.2181085874751454
G000379945,1.1630611770179112e-05,0.3333333333333333,2528,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Porphyromonadaceae,g__Porphyromonas,s__Porphyromonas macacae,t__,0.05289259849225025,0.011056974193618882,0.2181085874751454
G000757825,1.1630611770179112e-05,0.25,4675,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__Cedecea,s__Cedecea neteri,t__,0.05289259849225025,0.011056974193618882,0.2181085874751454
G001598035,1.1630611770179112e-05,0.2916666666666667,7369,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,s__Streptococcus halotolerans,t__,0.05289259849225025,0.011056974193618882,0.2181085874751454
G001592855,1.1630611770179112e-05,0.25,7349,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Moraxellaceae,g__Acinetobacter,s__Acinetobacter sp. BMW17,t__,0.05289259849225025,0.011056974193618882,0.2181085874751454
G900115315,1.1630611770179112e-05,0.25,10399,k__Bacteria,p__Bacteroidetes,c__Flavobacteriia,o__Flavobacteriales,f__Flavobacteriaceae,g__Capnocytophaga,s__Capnocytophaga haemolytica,t__,0.05289259849225025,0.011056974193618882,0.2181085874751454
G000759795,1.1630611770179112e-05,0.25,4700,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__Escherichia,s__Escherichia vulneris,t__,0.05289259849225025,0.011056974193618882,0.2181085874751454
G000019945,1.2357525005815306e-05,0.25,367,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Methylobacteriaceae,g__Methylobacterium,s__Methylobacterium populi,t__,0.05611899329995873,0.012199835456320682,0.22252818440715916
G000006785,1.2357525005815306e-05,0.2916666666666667,5,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,s__Streptococcus pyogenes,t__,0.05611899329995873,0.012199835456320682,0.22252818440715916
G000016325,1.2357525005815306e-05,0.2916666666666667,280,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__Enterobacter,s__Enterobacter sp. 638,t__,0.05611899329995873,0.012199835456320682,0.22252818440715916
G000301035,1.2357525005815306e-05,0.2916666666666667,1886,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Aerococcaceae,g__Facklamia,s__Facklamia hominis,t__,0.05611899329995873,0.012199835456320682,0.22252818440715916
G000009545,1.2357525005815306e-05,0.375,80,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,s__Streptococcus uberis,t__,0.05611899329995873,0.012199835456320682,0.22252818440715916
G000229225,1.2357525005815306e-05,0.25,1393,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,s__Streptococcus mutans,t__,0.05611899329995873,0.012199835456320682,0.22252818440715916
G001068545,1.2357525005815306e-05,0.2916666666666667,5975,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Staphylococcaceae,g__Staphylococcus,s__Staphylococcus epidermidis,t__,0.05611899329995873,0.012199835456320682,0.22252818440715916
G000188015,1.30844382414515e-05,0.2916666666666667,1075,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,s__Streptococcus ictaluri,t__,0.059336148343138384,0.013375999361450647,0.2268985489029707
G000379905,1.30844382414515e-05,0.2916666666666667,2526,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pasteurellales,f__Pasteurellaceae,g__Rodentibacter,s__Rodentibacter pneumotropicus,t__,0.059336148343138384,0.013375999361450647,0.2268985489029707
G000374325,1.30844382414515e-05,0.3333333333333333,2411,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Carnobacteriaceae,g__Allofustis,s__Allofustis seminis,t__,0.059336148343138384,0.013375999361450647,0.2268985489029707
G001594265,1.30844382414515e-05,0.25,7361,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pasteurellales,f__Pasteurellaceae,g__Aggregatibacter,s__Aggregatibacter actinomycetemcomitans,t__,0.059336148343138384,0.013375999361450647,0.2268985489029707
G900130115,1.30844382414515e-05,0.25,10500,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Yersiniaceae,g__Nissabacter,s__Nissabacter archeti,t__,0.059336148343138384,0.013375999361450647,0.2268985489029707
G000219605,1.3811351477087695e-05,0.3333333333333333,1308,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas,s__Pseudomonas stutzeri,t__,0.06254408051515914,0.014583549022792977,0.23122162697376952
G001318405,1.3811351477087695e-05,0.375,6349,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Enterococcaceae,g__Enterococcus,s__Enterococcus cecorum,t__,0.06254408051515914,0.014583549022792977,0.23122162697376952
G000422205,1.3811351477087695e-05,0.4583333333333333,2880,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfovibrionales,f__Desulfovibrionaceae,g__Desulfovibrio,s__Desulfovibrio sp. X2,t__,0.06254408051515914,0.014583549022792977,0.23122162697376952
G000732635,1.3811351477087695e-05,0.25,4423,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Clostridiaceae,g__Clostridium,s__Clostridium sulfidigenes,t__,0.06254408051515914,0.014583549022792977,0.23122162697376952
G000831485,1.3811351477087695e-05,0.3333333333333333,5019,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,s__Streptococcus iniae,t__,0.06254408051515914,0.014583549022792977,0.23122162697376952
G000746645,1.4538264712723889e-05,0.2916666666666667,4602,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Moraxellaceae,g__Acinetobacter,s__Acinetobacter baumannii,t__,0.06574280674778554,0.015820721328348247,0.23549921092272288
G000423765,1.4538264712723889e-05,0.375,2951,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,s__Streptococcus porci,t__,0.06574280674778554,0.015820721328348247,0.23549921092272288
G001828765,1.5265177948360085e-05,0.375,9320,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__,g__,s__Pseudomonadales bacterium RIFCSPHIGHO2_12_FULL_40_16,t__,0.06893234399537262,0.017085890024531328,0.23973295623353086
G900120365,1.5265177948360085e-05,0.375,10452,k__Bacteria,p__Firmicutes,c__Erysipelotrichia,o__Erysipelotrichales,f__Erysipelotrichaceae,g__Massiliomicrobiota,s__Massiliomicrobiota timonensis,t__,0.06893234399537262,0.017085890024531328,0.23973295623353086
G000377005,1.5265177948360085e-05,0.375,2463,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,s__Streptococcus minor,t__,0.06893234399537262,0.017085890024531328,0.23973295623353086
G000420065,1.5265177948360085e-05,0.2916666666666667,2815,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Actinomycetaceae,g__Varibaculum,s__Varibaculum cambriense,t__,0.06893234399537262,0.017085890024531328,0.23973295623353086
G000191725,1.5265177948360085e-05,0.25,1108,k__Bacteria,p__Firmicutes,c__Tissierellia,o__Tissierellales,f__Peptoniphilaceae,g__Anaerococcus,s__Anaerococcus prevotii,t__,0.06893234399537262,0.017085890024531328,0.23973295623353086
G000177555,1.5265177948360085e-05,0.4583333333333333,989,k__Bacteria,p__Firmicutes,c__Negativicutes,o__Veillonellales,f__Veillonellaceae,g__Megasphaera,s__Megasphaera genomosp. type_1,t__,0.06893234399537262,0.017085890024531328,0.23973295623353086
G000173975,1.5265177948360085e-05,0.25,949,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Eubacteriaceae,g__Eubacterium,s__[Eubacterium] hallii,t__,0.06893234399537262,0.017085890024531328,0.23973295623353086
G000423745,1.599209118399628e-05,0.375,2950,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,s__Streptococcus plurextorum,t__,0.07211270924380497,0.018377551140135645,0.24392439616187347
G000426565,1.599209118399628e-05,0.2916666666666667,3033,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella,s__Prevotella albensis,t__,0.07211270924380497,0.018377551140135645,0.24392439616187347
G000614585,1.599209118399628e-05,0.2916666666666667,3949,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Porphyromonadaceae,g__Porphyromonas,s__Porphyromonas gingivicanis,t__,0.07211270924380497,0.018377551140135645,0.24392439616187347
G900142225,1.599209118399628e-05,0.25,10518,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Clostridiaceae,g__Hathewaya,s__Hathewaya proteolytica,t__,0.07211270924380497,0.018377551140135645,0.24392439616187347
G000286435,1.599209118399628e-05,0.25,1787,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Morganellaceae,g__Morganella,s__Morganella morganii,t__Morganella morganii subsp. morganii,0.07211270924380497,0.018377551140135645,0.24392439616187347
G000287655,1.599209118399628e-05,0.375,1794,k__Bacteria,p__Firmicutes,c__Negativicutes,o__Selenomonadales,f__Selenomonadaceae,g__Selenomonas,s__Selenomonas sp. FOBRC9,t__,0.07211270924380497,0.018377551140135645,0.24392439616187347
G000158315,1.599209118399628e-05,0.4166666666666667,797,k__Bacteria,p__Fusobacteria,c__Fusobacteriia,o__Fusobacteriales,f__Fusobacteriaceae,g__Fusobacterium,s__Fusobacterium ulcerans,t__,0.07211270924380497,0.018377551140135645,0.24392439616187347
G001028525,1.599209118399628e-05,0.5416666666666666,5868,k__Bacteria,p__Spirochaetes,c__Spirochaetia,o__Spirochaetales,f__Spirochaetaceae,g__Treponema,s__Treponema endosymbiont of Eucomonympha sp.,t__,0.07211270924380497,0.018377551140135645,0.24392439616187347
G000969835,1.599209118399628e-05,0.3333333333333333,5204,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Porphyromonadaceae,g__Parabacteroides,s__Parabacteroides goldsteinii,t__,0.07211270924380497,0.018377551140135645,0.24392439616187347
G000312325,1.599209118399628e-05,0.2916666666666667,1988,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Clostridiales Family XIII. Incertae Sedis,g__Casaltella,s__Casaltella massiliensis,t__,0.07211270924380497,0.018377551140135645,0.24392439616187347
G000226875,1.599209118399628e-05,0.25,1369,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Neisseriales,f__Neisseriaceae,g__Neisseria,s__Neisseria shayeganii,t__,0.07211270924380497,0.018377551140135645,0.24392439616187347
G000440115,1.599209118399628e-05,0.375,3356,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,s__Streptococcus suis,t__,0.07211270924380497,0.018377551140135645,0.24392439616187347
G000187125,1.599209118399628e-05,0.3333333333333333,1069,k__Bacteria,p__Firmicutes,c__Negativicutes,o__Selenomonadales,f__Selenomonadaceae,g__Selenomonas,s__Selenomonas artemidis,t__,0.07211270924380497,0.018377551140135645,0.24392439616187347
G000219275,1.599209118399628e-05,0.3333333333333333,1304,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Moraxellaceae,g__Acinetobacter,s__Acinetobacter lwoffii,t__,0.07211270924380497,0.018377551140135645,0.24392439616187347
G000380085,1.6719004419632473e-05,0.25,2535,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,s__Streptococcus merionis,t__,0.07528391949698365,0.01969431035015988,0.24807495434828658
G000971295,1.6719004419632473e-05,0.375,5240,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Hyphomicrobiaceae,g__Devosia,s__Devosia epidermidihirudinis,t__,0.07528391949698365,0.01969431035015988,0.24807495434828658
G000468535,1.6719004419632473e-05,0.2916666666666667,3441,k__Bacteria,p__Firmicutes,c__Tissierellia,o__Tissierellales,f__Peptoniphilaceae,g__Peptoniphilus,s__Peptoniphilus sp. ChDC B134,t__,0.07528391949698365,0.01969431035015988,0.24807495434828658
G000072485,1.6719004419632473e-05,0.25,584,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__Xanthomonadaceae,g__Stenotrophomonas,s__Stenotrophomonas maltophilia,t__,0.07528391949698365,0.01969431035015988,0.24807495434828658
G000308255,1.6719004419632473e-05,0.3333333333333333,1929,k__Bacteria,p__Firmicutes,c__Tissierellia,o__Tissierellales,f__Peptoniphilaceae,g__Anaerococcus,s__Anaerococcus pacaensis,t__,0.07528391949698365,0.01969431035015988,0.24807495434828658
G000373185,1.6719004419632473e-05,0.25,2381,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella,s__Prevotella paludivivens,t__,0.07528391949698365,0.01969431035015988,0.24807495434828658
G000429265,1.6719004419632473e-05,0.3333333333333333,3104,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Actinomycetaceae,g__Actinomyces,s__Actinomyces gerencseriae,t__,0.07528391949698365,0.01969431035015988,0.24807495434828658
G000970465,1.7445917655268667e-05,0.2916666666666667,5229,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Hyphomicrobiaceae,g__Devosia,s__Devosia insulae,t__,0.07844599179315082,0.02103487199056077,0.25218595583155395
G001536105,1.7445917655268667e-05,0.4583333333333333,7086,k__Bacteria,p__Candidatus Kryptonia,c__,o__,f__,g__Candidatus Kryptobacter,s__Candidatus Kryptobacter tengchongensis,t__,0.07844599179315082,0.02103487199056077,0.25218595583155395
G000758905,1.817283089090486e-05,0.375,4684,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Clostridiales Family XIII. Incertae Sedis,g__,s__Clostridiales bacterium S5-A14a,t__,0.08159894319257499,0.022398029446992027,0.2562586366387366
G000426665,1.817283089090486e-05,0.3333333333333333,3038,k__Bacteria,p__Firmicutes,c__Negativicutes,o__Selenomonadales,f__Selenomonadaceae,g__Selenomonas,s__Selenomonas artemidis,t__,0.08159894319257499,0.022398029446992027,0.2562586366387366
G000472865,1.817283089090486e-05,0.2916666666666667,3479,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Bradyrhizobiaceae,g__Bradyrhizobium,s__Bradyrhizobium elkanii,t__,0.08159894319257499,0.022398029446992027,0.2562586366387366
G000317855,1.817283089090486e-05,0.4166666666666667,2068,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,s__Streptococcus dysgalactiae,t__Streptococcus dysgalactiae subsp. equisimilis,0.08159894319257499,0.022398029446992027,0.2562586366387366
G000186205,1.817283089090486e-05,0.2916666666666667,1059,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Staphylococcaceae,g__Staphylococcus,s__Staphylococcus epidermidis,t__,0.08159894319257499,0.022398029446992027,0.2562586366387366
G000188055,1.817283089090486e-05,0.4583333333333333,1077,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,s__Streptococcus urinalis,t__,0.08159894319257499,0.022398029446992027,0.2562586366387366
G000204235,1.817283089090486e-05,0.3333333333333333,1203,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Propionibacteriales,f__Propionibacteriaceae,g__Propionibacterium,s__Propionibacterium humerusii,t__,0.08159894319257499,0.022398029446992027,0.2562586366387366
G000185885,1.8899744126541056e-05,0.375,1053,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Staphylococcaceae,g__Staphylococcus,s__Staphylococcus pseudintermedius,t__,0.0847427907839512,0.02378265672867913,0.2602941522223326
G000834015,1.8899744126541056e-05,0.3333333333333333,5035,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella,s__Prevotella sp. P4-76,t__,0.0847427907839512,0.02378265672867913,0.2602941522223326
G000364865,1.962665736217725e-05,0.3333333333333333,2333,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Actinomycetaceae,g__Actinomyces,s__Actinomyces cardiffensis,t__,0.08787755167546851,0.025187701040960395,0.26429358487233573
G000007465,1.962665736217725e-05,0.2916666666666667,25,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,s__Streptococcus mutans,t__,0.08787755167546851,0.025187701040960395,0.26429358487233573
G900129085,1.962665736217725e-05,0.375,10465,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Carnobacteriaceae,g__Atopostipes,s__Atopostipes suicloacalis,t__,0.08787755167546851,0.025187701040960395,0.26429358487233573
G000511775,1.962665736217725e-05,0.3333333333333333,3678,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides,s__Bacteroides pyogenes,t__,0.08787755167546851,0.025187701040960395,0.26429358487233573
G000025225,1.962665736217725e-05,0.375,521,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae,g__Mageeibacillus,s__Mageeibacillus indolicus,t__,0.08787755167546851,0.025187701040960395,0.26429358487233573
G000221565,1.962665736217725e-05,0.3333333333333333,1329,k__Bacteria,p__Firmicutes,c__Tissierellia,o__Tissierellales,f__Peptoniphilaceae,g__Peptoniphilus,s__Peptoniphilus sp. oral taxon 375,t__,0.08787755167546851,0.025187701040960395,0.26429358487233573
G000146855,1.962665736217725e-05,0.3333333333333333,664,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Peptostreptococcaceae,g__Peptoanaerobacter,s__[Eubacterium] yurii,t__[Eubacterium] yurii subsp. margaretiae,0.08787755167546851,0.025187701040960395,0.26429358487233573
G000516535,2.0353570597813447e-05,0.375,3713,k__Bacteria,p__Fusobacteria,c__Fusobacteriia,o__Fusobacteriales,f__Leptotrichiaceae,g__Leptotrichia,s__Leptotrichia goodfellowii,t__,0.0910032429986023,0.026612176225412468,0.2682579502826482
G000953275,2.0353570597813447e-05,0.4583333333333333,5098,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Peptostreptococcaceae,g__Clostridioides,s__Clostridioides difficile,t__,0.0910032429986023,0.026612176225412468,0.2682579502826482
G000332735,2.0353570597813447e-05,0.2916666666666667,2170,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Staphylococcaceae,g__Staphylococcus,s__Staphylococcus warneri,t__,0.0910032429986023,0.026612176225412468,0.2682579502826482
G001484935,2.0353570597813447e-05,0.4166666666666667,6921,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Moraxellaceae,g__Acinetobacter,s__Acinetobacter johnsonii,t__,0.0910032429986023,0.026612176225412468,0.2682579502826482
G001643095,2.0353570597813447e-05,0.3333333333333333,7573,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Methylobacteriaceae,g__Methylobacterium,s__Methylobacterium populi,t__,0.0910032429986023,0.026612176225412468,0.2682579502826482
G000463665,2.0353570597813447e-05,0.2916666666666667,3416,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Propionibacteriales,f__Propionibacteriaceae,g__Cutibacterium,s__Cutibacterium granulosum,t__,0.0910032429986023,0.026612176225412468,0.2682579502826482
G000227315,2.0353570597813447e-05,0.375,1373,k__Bacteria,p__Firmicutes,c__Tissierellia,o__Tissierellales,f__Peptoniphilaceae,g__Peptoniphilus,s__Peptoniphilus indolicus,t__,0.0910032429986023,0.026612176225412468,0.2682579502826482
G001054195,2.0353570597813447e-05,0.2916666666666667,5959,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Corynebacteriales,f__Corynebacteriaceae,g__Corynebacterium,s__Corynebacterium aurimucosum,t__,0.0910032429986023,0.026612176225412468,0.2682579502826482
G000469465,2.0353570597813447e-05,0.375,3452,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__,g__Gemella,s__Gemella bergeri,t__,0.0910032429986023,0.026612176225412468,0.2682579502826482
G000380125,2.0353570597813447e-05,0.3333333333333333,2537,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,s__Streptococcus ovis,t__,0.0910032429986023,0.026612176225412468,0.2682579502826482
G000210575,2.108048383344964e-05,0.375,1225,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Rikenellaceae,g__Alistipes,s__Alistipes shahii,t__,0.0941198819161333,0.02805515694465277,0.27218820338010336
G900086585,2.108048383344964e-05,0.2916666666666667,10057,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Clostridiales Family XIII. Incertae Sedis,g__Emergencia,s__Emergencia timonensis,t__,0.0941198819161333,0.02805515694465277,0.27218820338010336
G000435035,2.108048383344964e-05,0.3333333333333333,3262,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Porphyromonadaceae,g__Porphyromonas,s__Porphyromonas sp. CAG:1061,t__,0.0941198819161333,0.02805515694465277,0.27218820338010336
G000376985,2.1807397069085836e-05,0.375,2462,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,s__Streptococcus henryi,t__,0.0972274856134211,0.029515773501605766,0.27608524349015456
G000447205,2.1807397069085836e-05,0.2916666666666667,3383,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingobium,s__Sphingobium ummariense,t__,0.0972274856134211,0.029515773501605766,0.27608524349015456
G001908185,2.1807397069085836e-05,0.2916666666666667,9653,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Bradyrhizobiaceae,g__Bradyrhizobium,s__Bradyrhizobium sp. AS23.2,t__,0.0972274856134211,0.029515773501605766,0.27608524349015456
G000009205,2.1807397069085836e-05,0.4166666666666667,75,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Peptostreptococcaceae,g__Clostridioides,s__Clostridioides difficile,t__,0.0972274856134211,0.029515773501605766,0.27608524349015456
G000938285,2.253431030472203e-05,0.3333333333333333,5066,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Bradyrhizobiaceae,g__Bradyrhizobium,s__Bradyrhizobium sp. LTSP857,t__,0.10032607128796278,0.030993207214866744,0.2799499189435099
G900106785,2.253431030472203e-05,0.5,10215,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotellamassilia,s__Prevotellamassilia timonensis,t__,0.10032607128796278,0.030993207214866744,0.2799499189435099
G000262245,2.253431030472203e-05,0.375,1646,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pasteurellales,f__Pasteurellaceae,g__Pasteurella,s__Pasteurella bettyae,t__,0.10032607128796278,0.030993207214866744,0.2799499189435099
G001299455,2.3261223540358224e-05,0.4166666666666667,6198,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__,g__,s__Clostridiales bacterium SIT11,t__,0.10341565617059989,0.03248668629453355,0.2837830312368624
G001941805,2.398813677599442e-05,0.2916666666666667,9821,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Moraxellaceae,g__Acinetobacter,s__Acinetobacter junii,t__,0.10649625750647784,0.03399548212338255,0.2875853387188871
G000156035,2.398813677599442e-05,0.5,766,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__Tyzzerella,s__Tyzzerella nexilis,t__,0.10649625750647784,0.03399548212338255,0.2875853387188871
G000380025,2.398813677599442e-05,0.375,2532,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,s__Streptococcus entericus,t__,0.10649625750647784,0.03399548212338255,0.2875853387188871
G000164865,2.398813677599442e-05,0.2916666666666667,868,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__Enterobacter,s__Enterobacter lignolyticus,t__,0.10649625750647784,0.03399548212338255,0.2875853387188871
